book,index,sentence,flesch,syllables,words,sentence_clean
Book1,38,but then it struck mr dursley that this was probably some silly stunt these people were obviously collecting for something yes that would be it ,-39.34,46,17,then struck mr dursley probably silly stunt these people obviously collecting for something yes that would it
Book1,39,the traffic moved on and few minutes later mr dursley arrived in the grunnings parking lot his mind back on drills ,-30.96,37,14,traffic moved minutes later mr dursley arrived in grunnings parking lot mind back drills
Book1,40,mr dursley always sat with his back to the window in his office on the ninth floor ,-11.98,27,11,mr dursley always sat back to window in office ninth floor
Book1,41,if he hadn he might have found it harder to concentrate on drills that morning ,-33.93,22,8,hadn might found harder concentrate on drills morning
Book1,42,he didn see the owls swooping past in broad daylight though people down in the street did they pointed and gazed open mouthed as owl after owl sped overhead ,-53.91,62,22,didn see owls swooping past in broad daylight though people in the street they pointed gazed open mouthed owl owl sped overhead
Book1,43,most of them had never seen an owl even at nighttime ,-52.04,15,5,never seen owl even nighttime
Book1,44,mr dursley however had perfectly normal owl free morning ,-27.9,24,9,mr dursley however had perfectly normal owl free morning
Book1,45,he yelled at five different people ,-68.96,16,5,yelled at five different people
Book1,46,he made several important telephone calls and shouted bit more ,-90.33,24,7,made several important telephone calls shouted bit
Book1,47,he was in very good mood until lunchtime when he thought he stretch his legs and walk across the road to buy himself bun from the bakery ,-19.43,42,17,was in very good mood lunchtime thought stretch legs and walk across the road buy bun bakery
Book1,48,he forgotten all about the people in cloaks until he passed group of them next to the baker ,-35.06,30,11,forgotten all people in cloaks passed group next to the baker
Book1,49,he eyed them angrily as he passed ,-29.87,11,4,eyed them angrily passed
Book1,50,he didn know why but they made him uneasy ,-29.87,11,4,he know made uneasy
Book1,51,this bunch were whispering excitedly too and he couldn see single collecting tin ,-56.1,27,9,bunch whispering excitedly too he see single collecting tin
Book1,52,it was on his way back past them clutching large doughnut in bag that he caught few words of what they were saying ,-11.43,36,15,on way back past clutching large doughnut in bag caught few words what they saying
Book1,53, the potters that right that what heard yes their son harry mr dursley stopped dead ,-4.29,26,11,potters right that heard yes son harry mr dursley stopped dead
Book1,54,fear flooded him ,-50.01,9,3,fear flooded him
Book1,55,he looked back at the whisperers as if he wanted to say something to them but thought better of it ,-42.75,31,11,looked back whisperers wanted to say something them but thought better
Book1,56,he dashed back across the road hurried up to his office snapped at his secretary not to disturb him seized his telephone and had almost finished dialing his home number when he changed his mind ,-73.99,70,23,dashed back across road hurried up office snapped his secretary not disturb him seized his telephone almost finished dialing home number changed mind
Book1,57,he put the receiver back down and stroked his mustache thinking no he was being stupid ,-48.65,29,10,put receiver back stroked his mustache thinking no being stupid
Book1,58,potter wasn such an unusual name ,-72.17,13,4,potter wasn unusual name
Book1,59,he was sure there were lots of people called potter who had son called harry ,-27.9,24,9,sure lots of people called potter son called harry
Book1,60,come to think of it he wasn even sure his nephew was called harry ,-29.9,19,7,come think even sure nephew called harry
Book1,61,he never even seen the boy ,-29.87,11,4,never even seen boy
Book1,62,it might have been harvey ,6.39,7,3,it might harvey
Book1,63,or harold ,-47.98,3,1,harold
Book1,64,there was no point in worrying mrs dursley she always got so upset at any mention of her sister ,-31.73,27,10,point worrying mrs dursley she always got upset mention sister
Book1,65,he didn blame her if he had sister like that but all the same those people in cloaks ,-53.05,18,6,he blame sister like people cloaks
Book1,66,he found it lot harder to concentrate on drills that afternoon and when he left the building at five clock he was still so worried that he walked straight into someone just outside the door ,-69.29,66,22,found lot harder to concentrate drills afternoon he left building at five clock still worried he walked straight someone outside the door
Book1,67, sorry he grunted as the tiny old man stumbled and almost fell ,-2.21,19,8,sorry grunted tiny old man stumbled almost fell
Book1,68,it was few seconds before mr dursley realized that the man was wearing violet cloak ,-56.1,27,9,few seconds mr dursley realized man wearing violet cloak
Book1,69,he didn seem at all upset at being almost knocked to the ground ,-38.95,17,6,seem upset almost knocked to ground
Book1,70,on the contrary his face split into wide smile and he said in squeaky voice that made passersby stare don be sorry my dear sir for nothing could upset me today ,-50.34,56,20,contrary face split wide smile said squeaky voice made passersby stare be sorry my dear sir nothing could upset today
Book1,71,rejoice for you know who has gone at last ,-35.12,14,5,rejoice for know gone last
Book1,72,even muggles like yourself should be celebrating this happy happy day and the old man hugged mr dursley around the middle and walked off ,-36.77,43,16,even muggles like celebrating happy happy day the old man hugged mr dursley around middle walked
Book1,73,mr dursley stood rooted to the spot ,-10.75,15,6,mr dursley stood rooted the spot
Book1,74,he had been hugged by complete stranger ,-51.02,12,4,he hugged complete stranger
Book1,75,he also thought he had been called muggle whatever that was ,-68.96,16,5,also thought called muggle whatever
Book1,76,he was rattled ,-6.69,5,2,was rattled
Book1,77,he hurried to his car and set off for home hoping he was imagining things which he had never hoped before because he didn approve of imagination ,-96.58,38,11,hurried car set home hoping imagining things never hoped approve imagination
Book1,78,as he pulled into the driveway of number four the first thing he saw and it didn improve his mood was the tabby cat he spotted that morning ,-40.64,36,13,pulled driveway number four first thing saw improve mood tabby cat spotted morning
Book1,79,it was now sitting on his garden wall ,6.36,16,7,it was sitting on his garden wall
Book1,80,he was sure it was the same one it had the same markings around its eyes ,-53.05,18,6,was sure one markings around eyes
Book1,81, shoo said mr dursley loudly ,-18.2,13,5,shoo said mr dursley loudly
Book1,82,the cat didn move ,6.39,7,3,the cat move
Book1,83,it just gave him stern look ,-1.28,12,5,just gave him stern look
Book1,84,was this normal cat behavior ,-78.21,10,3,normal cat behavior
Book1,85,mr dursley wondered ,-21.81,8,3,mr dursley wondered
Book1,86,trying to pull himself together he let himself into the house ,-35.12,14,5,trying pull together let house
Book1,87,he was still determined not to mention anything to his wife ,-85.88,17,5,still determined mention anything wife
Book1,88,mrs dursley had had nice normal day ,3.34,14,6,mrs dursley had nice normal day
Book1,89,she told him over dinner all about mrs next door problems with her daughter and how dudley had learned new word won ,-19.43,42,17,she told him over dinner mrs next door problems her daughter and how dudley learned new word
Book1,90,mr dursley tried to act normally ,-1.28,12,5,mr dursley tried act normally
Book1,91,when dudley had been put to bed he went into the living room in time to catch the last report on the evening news and finally bird watchers everywhere have reported that the nation owls have been behaving very unusually today ,-62.19,72,25,dudley put bed he went the living room time catch last report evening news finally bird watchers everywhere reported that nation owls behaving unusually today
Book1,92,although owls normally hunt at night and are hardly ever seen in daylight there have been hundreds of sightings of these birds flying in every direction since sunrise ,-57.34,55,19,although owls normally hunt night are hardly ever seen daylight hundreds sightings these birds flying every direction since sunrise
Book1,93,experts are unable to explain why the owls have suddenly changed their sleeping pattern the newscaster allowed himself grin ,-61.17,42,14,experts unable to explain the owls suddenly changed sleeping pattern the newscaster allowed grin
Book1,94, most mysterious ,-217.18,5,1,mysterious
Book1,95,and now over to jim mcguffin with the weather ,-29.87,11,4,jim mcguffin with weather
Book1,96,going to be any more showers of owls tonight jim well ted said the weatherman don know about that but it not only the owls that have been acting oddly today ,-41.73,49,18,going more showers owls tonight jim well ted said weatherman know about the owls been acting oddly today
Book1,97,viewers as far apart as kent yorkshire and dundee have been phoning in to tell me that instead of the rain promised yesterday they ve had downpour of shooting stars ,-74.17,53,17,viewers far apart kent yorkshire dundee phoning to tell me instead rain promised yesterday downpour shooting stars
Book1,98,perhaps people have been celebrating bonfire night early it not until next week folks ,-65.5,28,9,perhaps people celebrating bonfire night early next week folks
Book1,99,but can promise wet night tonight mr dursley sat frozen in his armchair ,-27.9,24,9,promise wet night tonight mr dursley sat frozen armchair
Book1,100,shooting stars all over britain ,-78.21,10,3,shooting stars britain
Book1,101,owls flying by daylight ,6.39,7,3,owls flying daylight
Book1,102,mysterious people in cloaks all over the place ,-114.47,15,4,mysterious people cloaks place
Book1,103,and whisper whisper about the potters ,-18.2,13,5,and whisper whisper the potters
Book1,104, mrs dursley came into the living room carrying two cups of tea ,-14.81,25,10,mrs dursley came the living room carrying two cups tea
Book1,105,it was no good ,-6.69,5,2,it good
Book1,106,he have to say something to her ,-48.99,6,2,say something
Book1,107,he cleared his throat nervously ,-106.41,11,3,cleared throat nervously
Book1,108, er petunia dear you haven heard from your sister lately have you as he had expected mrs dursley looked shocked and angry ,-52.63,46,16,er petunia dear haven heard your sister lately as had expected mrs dursley looked shocked angry
Book1,109,after all they normally pretended she didn have sister ,-72.17,13,4,normally pretended have sister
Book1,110, no she said sharply ,6.39,7,3,she said sharply
Book1,111, why funny stuff on the news mr dursley mumbled ,18.44,15,7,funny stuff on news mr dursley mumbled
Book1,112, owls ,36.62,2,1,owls
Book1,113, shooting stars ,-48.99,6,2,shooting stars
Book1,114, and there were lot of funny looking people in town today so snapped mrs dursley ,-27.37,29,11,were lot funny looking people town today so snapped mrs dursley
Book1,115, well just thought maybe it was something to do with you know her crowd mrs dursley sipped her tea through pursed lips ,-22.71,38,15,well just thought maybe it something know crowd mrs dursley sipped tea through pursed lips
Book1,116,mr dursley wondered whether he dared tell her he heard the name potter he decided he didn dare ,-45.04,34,12,mr dursley wondered whether dared tell her heard name potter decided dare
Book1,117,instead he said as casually as he could their son he be about dudley age now wouldn he suppose so said mrs dursley stiffly ,-47.34,45,16,instead said casually as could son he about dudley age suppose so said mrs dursley stiffly
Book1,118, what his name again ,-47.98,3,1,name
Book1,119,howard isn it harry ,-6.69,5,2,howard harry
Book1,120,nasty common name if you ask me oh yes said mr dursley his heart sinking horribly ,-21.11,33,13,nasty common name you ask oh yes said mr dursley heart sinking horribly
Book1,121, yes quite agree he didn say another word on the subject as they went upstairs to bed ,-37.99,33,12,yes quite agree he say another word subject went upstairs to bed
Book1,122,while mrs dursley was in the bathroom mr dursley crept to the bedroom window and peered down into the front garden ,-34.13,35,13,while mrs dursley was bathroom mr dursley crept bedroom window peered front garden
Book1,123,the cat was still there ,35.61,4,2,cat still
Book1,124,it was staring down privet drive as though it were waiting for something ,-66.16,22,7,it staring privet drive though waiting something
Book1,125,was he imagining things ,-91.29,7,2,imagining things
Book1,126,could all this have anything to do with the potters ,-18.2,13,5,could this anything to potters
Book1,127,if it did if it got out that they were related to pair of well he didn think he could bear it ,-19.68,28,11,if it it got out related pair well think could bear
Book1,128,the dursleys got into bed ,6.39,7,3,dursleys got bed
Book1,129,mrs dursley fell asleep quickly but mr dursley lay awake turning it all over in his mind ,-14.61,32,13,mrs dursley fell asleep quickly mr dursley lay awake turning all his mind
Book1,130,his last comforting thought before he fell asleep was that even if the potters were involved there was no reason for them to come near him and mrs dursley ,-52.89,54,19,last comforting thought before fell asleep even if potters involved there was reason them come near him mrs dursley
Book1,131,the potters knew very well what he and petunia thought about them and their kind ,-18.5,23,9,the potters knew very well petunia thought them kind
Book1,132, ,121.22,1,1,
Book1,133,he couldn see how he and petunia could get mixed up in anything that might be going on he yawned and turned over it couldn affect them ,-45.27,42,15,he see and petunia could get mixed anything might going he yawned turned couldn affect
Book1,134, how very wrong he was ,36.62,2,1,wrong
Book1,135,mr dursley might have been drifting into an uneasy sleep but the cat on the wall outside was showing no sign of sleepiness ,-43.05,39,14,mr dursley might drifting uneasy sleep cat wall outside was showing sign of sleepiness
Book1,136,it was sitting as still as statue its eyes fixed unblinkingly on the far corner of privet drive ,-50.44,32,11,sitting still statue eyes fixed unblinkingly the far corner privet drive
Book1,137,it didn so much as quiver when car door slammed on the next street nor when two owls swooped overhead ,-40.64,36,13,much as quiver car door slammed the next street two owls swooped overhead
Book1,138,in fact it was nearly midnight before the cat moved at all ,-10.75,15,6,fact nearly midnight the cat moved
Book1,139,a man appeared on the corner the cat had been watching appeared so suddenly and silently you have thought he just popped out of the ground ,-60.16,39,13,a man appeared on corner cat watching appeared suddenly silently thought popped ground
Book1,140,the cat tail twitched and its eyes narrowed ,-29.9,19,7,the cat tail twitched its eyes narrowed
Book1,141,nothing like this man had ever been seen on privet drive ,-41.98,20,7,nothing like man ever seen privet drive
Book1,142,he was tall thin and very old judging by the silver of his hair and beard which were both long enough to tuck into his belt ,-14.46,41,17,he tall thin old judging silver of his hair beard were both long enough tuck his belt
Book1,143,he was wearing long robes purple cloak that swept the ground and high heeled buckled boots ,-45.04,34,12,he wearing long robes purple cloak swept ground high heeled buckled boots
Book1,144,his blue eyes were light bright and sparkling behind half moon spectacles and his nose was very long and crooked as though it had been broken at least twice ,-46.43,50,18,blue eyes light bright sparkling behind half moon spectacles nose very long crooked as though broken least twice
Book1,145,this man name was albus dumbledore ,-52.04,15,5,man name was albus dumbledore
Book1,146,albus dumbledore didn seem to realize that he had just arrived in street where everything from his name to his boots was unwelcome ,-92.7,44,13,albus dumbledore seem to realize he had arrived street everything name boots unwelcome
Book1,147,he was busy rummaging in his cloak looking for something ,-44.51,23,8,he busy rummaging his cloak looking for something
Book1,148,but he did seem to realize he was being watched because he looked up suddenly at the cat which was still staring at him from the other end of the street ,-47.34,45,16,but did seem to realize he watched because looked suddenly cat still staring end the street
Book1,149,for some reason the sight of the cat seemed to amuse him ,-68.96,16,5,reason sight cat seemed amuse
Book1,150,he chuckled and muttered should have known he found what he was looking for in his inside pocket ,-57.11,30,10,he chuckled muttered have known found looking for inside pocket
Book1,151,it seemed to be silver cigarette lighter ,-67.15,19,6,it seemed be silver cigarette lighter
Book1,152,he flicked it open held it up in the air and clicked it ,-24.85,16,6,flicked it open held air clicked
Book1,153,the nearest street lamp went out with little pop ,-17.81,18,7,nearest street lamp went with little pop
Book1,154,he clicked it again the next lamp flickered into darkness ,-24.85,16,6,clicked the next lamp flickered darkness
Book1,155,twelve times he clicked the put outer until the only lights left on the whole street were two tiny pinpricks in the distance which were the eyes of the cat watching him ,-40.08,56,21,twelve times clicked put outer until the lights left whole street two tiny pinpricks the distance were eyes the cat watching
Book1,156,if anyone looked out of their window now even beady eyed mrs dursley they wouldn be able to see anything that was happening down on the pavement ,-51.13,51,18,anyone looked of window now even beady eyed mrs dursley be able see anything was happening the pavement
Book1,157,dumbledore slipped the put outer back inside his cloak and set off down the street toward number four where he sat down on the wall next to the cat ,-41.88,54,20,dumbledore slipped put outer back inside cloak set down the street toward number four where he sat wall next cat
Book1,158,he didn look at it but after moment he spoke to it ,-17.81,18,7,look it but after moment spoke to
Book1,159, fancy seeing you here professor mcgonagall he turned to smile at the tabby but it had gone ,-33.99,40,15,fancy seeing you professor mcgonagall he turned to smile at the tabby but had gone
Book1,160,instead he was smiling at rather severe looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes ,-79.15,54,17,instead smiling rather severe looking woman was wearing square glasses exactly shape markings cat had around eyes
Book1,161,she too was wearing cloak an emerald one ,-93.32,14,4,wearing cloak emerald one
Book1,162,her black hair was drawn into tight bun ,15.64,11,5,black hair drawn tight bun
Book1,163,she looked distinctly ruffled ,-78.21,10,3,looked distinctly ruffled
Book1,164, how did you know it was me she asked ,6.39,7,3,know she asked
Book1,165, my dear professor ve never seen cat sit so stiffly you be stiff if you been sitting on brick wall all day said professor mcgonagall ,-39.34,46,17,dear professor never seen cat sit stiffly you stiff if sitting brick wall day said professor mcgonagall
Book1,166, all day ,36.62,2,1,day
Book1,167,when you could have been celebrating ,-68.96,16,5,when you could have celebrating
Book1,168,i must have passed dozen feasts and parties on my way here professor mcgonagall sniffed angrily ,-52.09,35,12,must passed dozen feasts parties my way here professor mcgonagall sniffed angrily
Book1,169, oh yes everyone celebrating all right she said impatiently ,-90.33,24,7,oh yes everyone celebrating right said impatiently
Book1,170, you think they be bit more careful but no even the muggles have noticed something going on ,-56.1,27,9,think be bit careful even muggles noticed something going
Book1,171,it was on their news she jerked her head back at the dursleys dark living room window ,-23.27,26,10,news she jerked head back dursleys dark living room window
Book1,172, heard it ,-47.98,3,1,heard
Book1,173,flocks of owls shooting stars ,-8.72,10,4,flocks owls shooting stars
Book1,174, well they re not completely stupid ,-29.87,11,4,well not completely stupid
Book1,175,they were bound to notice something ,-72.17,13,4,bound to notice something
Book1,176,shooting stars down in kent ll bet that was dedalus diggle ,-38.95,17,6,shooting stars kent bet dedalus diggle
Book1,177,he never had much sense you can blame them said dumbledore gently ,-44.51,23,8,never much sense blame them said dumbledore gently
Book1,178, we ve had precious little to celebrate for eleven years know that said professor mcgonagall irritably ,-94.39,41,12,had precious little celebrate eleven years know that said professor mcgonagall irritably
Book1,179, but that no reason to lose our heads ,-78.21,10,3,reason lose heads
Book1,180,people are being downright careless out on the streets in broad daylight not even dressed in muggle clothes swapping rumors she threw sharp sideways glance at dumbledore here as though hoping he was going to tell her something but he didn so she went on ,-72.36,83,28,people downright careless out streets broad daylight even dressed muggle clothes swapping rumors threw sharp sideways glance dumbledore here though hoping he going tell something he went on
Book1,181, fine thing it would be if on the very day you know who seems to have disappeared at last the muggles found out about us all ,-42.75,31,11,fine thing would day know seems disappeared last muggles found us
Book1,182,i suppose he really has gone dumbledore it certainly seems so said dumbledore ,-118.53,30,8,suppose really gone dumbledore certainly seems said dumbledore
Book1,183, we have much to be thankful for ,3.34,14,6,we have much to be thankful
Book1,184,would you care for lemon drop what lemon drop ,-24.85,16,6,would care lemon drop lemon drop
Book1,185,they re kind of muggle sweet m rather fond of no thank you said professor mcgonagall coldly as though she didn think this was the moment for lemon drops ,-24.96,50,20,re kind muggle sweet m rather fond thank said professor mcgonagall coldly as though think this was moment lemon drops
Book1,186, as say even if you know who has gone my dear professor surely sensible person like yourself can call him by his name ,-53.65,38,13,say even you know gone dear professor surely sensible person like call name
Book1,187,all this you know who nonsense for eleven years have been trying to persuade people to call him by his proper name voldemort professor mcgonagall flinched but dumbledore who was unsticking two lemon drops seemed not to notice ,-86.37,82,26,you know nonsense for eleven years trying persuade people call him proper name voldemort professor mcgonagall flinched but dumbledore who unsticking two lemon drops seemed notice
Book1,188, it all gets so confusing if we keep saying you know who have never seen any reason to be frightened of saying voldemort name know you haven said professor mcgonagall sounding half exasperated half admiring ,-88.95,77,24,gets confusing keep saying know never seen reason frightened of saying voldemort name know you haven said professor mcgonagall sounding half exasperated half admiring
Book1,189, but you re different ,-50.01,9,3,you re different
Book1,190,everyone knows you re the only one you know oh all right voldemort was frightened of you flatter me said dumbledore calmly ,-61.17,42,14,everyone knows you only one know oh right voldemort frightened flatter said dumbledore calmly
Book1,191, voldemort had powers will never have only because you re too well noble to use them it lucky it dark ,-35.06,30,11,voldemort powers will never have too well noble use lucky dark
Book1,192,i haven blushed so much since madam pomfrey told me she liked my new earmuffs professor mcgonagall shot sharp look at dumbledore and said the owls are nothing next to the rumors that are flying around ,-58.8,71,25,blushed so much since madam pomfrey told liked new earmuffs professor mcgonagall shot sharp look dumbledore said owls nothing next to rumors are flying around
Book1,193,you know what everyone saying ,-78.21,10,3,know everyone saying
Book1,194,about why he disappeared ,-301.78,6,1,disappeared
Book1,195,about what finally stopped him it seemed that professor mcgonagall had reached the point she was most anxious to discuss the real reason she had been waiting on cold hard wall all day for neither as cat nor as woman had she fixed dumbledore with such piercing stare as she did now ,-75.7,92,31,what finally stopped seemed professor mcgonagall reached point was anxious to discuss real reason had waiting cold hard wall all day neither cat nor woman she fixed dumbledore such piercing stare
Book1,196,it was plain that whatever everyone was saying she was not going to believe it until dumbledore told her it was true ,-79.68,42,13,was plain whatever everyone saying going believe it until dumbledore told was true
Book1,197,dumbledore however was choosing another lemon drop and did not answer ,-102.41,25,7,dumbledore however choosing another lemon drop answer
Book1,198, what they re saying she pressed on is that last night voldemort turned up in godric hollow ,-23.9,31,12,they saying she pressed last night voldemort turned up in godric hollow
Book1,199,he went to find the potters ,12.43,9,4,he went find potters
Book1,200,the rumor is that lily and james potter are are that they re dead dumbledore bowed his head ,-37.99,33,12,the rumor that lily and james potter dead dumbledore bowed his head
Book1,201,professor mcgonagall gasped ,-106.41,11,3,professor mcgonagall gasped
Book1,202, lily and james ,-6.69,5,2,lily james
Book1,203,i can believe it ,-91.29,7,2,believe it
Book1,204,i didn want to believe it oh albus dumbledore reached out and patted her on the shoulder ,-65.82,34,11,i want to believe oh albus dumbledore reached and patted shoulder
Book1,205, know ,36.62,2,1,know
Book1,206,i know he said heavily ,-29.87,11,4,know he said heavily
Book1,207,professor mcgonagall voice trembled as she went on ,-67.15,19,6,professor mcgonagall voice trembled as went
Book1,208, that not all ,35.61,4,2,that not
Book1,209,they re saying he tried to kill the potters son harry ,-5.73,17,7,saying tried to kill potters son harry
Book1,210,but he couldn ,-47.98,3,1,couldn
Book1,211,he couldn kill that little boy ,-8.72,10,4,couldn kill little boy
Book1,212,no one knows why or how but they re saying that when he couldn kill harry potter voldemort power somehow broke and that why he gone dumbledore nodded glumly ,-33.42,52,20,one knows why or how saying that kill harry potter voldemort power somehow broke that why gone dumbledore nodded glumly
Book1,213, it it true faltered professor mcgonagall ,-114.47,15,4,true faltered professor mcgonagall
Book1,214, after all he done all the people he killed he couldn kill little boy ,-18.5,23,9,all he done people killed he kill little boy
Book1,215,it just astounding of all the things to stop him ,-18.2,13,5,astounding of things stop him
Book1,216, but how in the name of heaven did harry survive we can only guess said dumbledore ,-57.11,30,10,name of heaven did harry survive can guess said dumbledore
Book1,217, we may never know professor mcgonagall pulled out lace handkerchief and dabbed at her eyes beneath her spectacles ,-79.68,42,13,may never know professor mcgonagall pulled lace handkerchief and dabbed eyes beneath spectacles
Book1,218,dumbledore gave great sniff as he took golden watch from his pocket and examined it ,-52.09,35,12,dumbledore gave great sniff as took golden watch from his pocket examined
Book1,219,it was very odd watch ,34.59,6,3,very odd watch
Book1,220,it had twelve hands but no numbers instead little planets were moving around the edge ,-58.13,33,11,twelve hands numbers instead little planets were moving around the edge
Book1,221,it must have made sense to dumbledore though because he put it back in his pocket and said hagrid late ,-52.09,35,12,must have made sense dumbledore though put back pocket said hagrid late
Book1,222,i suppose it was he who told you d be here by the way yes said professor mcgonagall ,-54.07,21,7,suppose told way yes said professor mcgonagall
Book1,223, and don suppose you re going to tell me why you re here of all places ve come to bring harry to his aunt and uncle ,-11.43,36,15,and suppose going tell why re all places come bring harry to his aunt uncle
Book1,224,they re the only family he has left now you don mean you can mean the people who live here cried professor mcgonagall jumping to her feet and pointing at number four ,-66.25,57,19,they family left you mean mean people live here cried professor mcgonagall jumping feet and pointing at number four
Book1,225, dumbledore you can ,-217.18,5,1,dumbledore
Book1,226,i ve been watching them all day ,-8.72,10,4,been watching them day
Book1,227,you couldn find two people who are less like us ,-17.81,18,7,you find two people less like us
Book1,228,and they ve got this son saw him kicking his mother all the way up the street screaming for sweets ,-12.83,34,14,and ve got son saw kicking his mother way up street screaming for sweets
Book1,229,harry potter come and live here it the best place for him said dumbledore firmly ,-34.13,35,13,harry potter come live here it best place for him said dumbledore firmly
Book1,230, his aunt and uncle will be able to explain everything to him when he older ,-46.7,26,9,his aunt uncle will able explain everything when older
